Bar,Date,Time,Open,High,Low,Close
1,01/02/90,00:00,8.8125,9.375, 8.75,9.3125
2,01/03/90,00:00,9.375, 9.50,9.375,9.375
3,01/04/90,00:00,9.375,9.6875,9.3125,9.40625
4,01/05/90,00:00,9.40625,9.5625, 9.25,9.4375
5,01/08/90,00:00,9.4375, 9.50, 9.25, 9.50
6,01/09/90,00:00, 9.50, 9.50, 9.25,9.40625
7,01/10/90,00:00,9.40625,9.40625,8.9375, 9.00
8,01/11/90,00:00, 9.00,9.0625,8.625,8.625
9,01/12/90,00:00,8.625,8.6875,8.4375,8.625
10,01/15/90,00:00,8.625,8.9375,8.5625,8.5625
11,01/16/90,00:00,8.5625, 8.75,8.1875,8.71875
12,01/17/90,00:00,8.6875,8.6875, 8.25,8.3125
13,01/18/90,00:00,8.3125,8.375,8.0625,8.09375
14,01/19/90,00:00,8.375,8.625,8.375,8.5625
15,01/22/90,00:00,8.5625,8.625,8.3125,8.3125
16,01/23/90,00:00,8.3125,8.5625, 8.25,8.4375
17,01/24/90,00:00,8.4375,8.5625,8.0625, 8.50
18,01/25/90,00:00, 8.50,8.6875, 8.50,8.53125
19,01/26/90,00:00, 8.50, 8.50,8.0625,8.1875
20,01/29/90,00:00,8.1875,8.375,8.03125,8.3125
21,01/30/90,00:00,8.3125,8.625, 8.25, 8.50
22,01/31/90,00:00, 8.50,8.6875, 8.25, 8.50
23,02/01/90,00:00, 8.50,8.65625,8.375,8.40625
24,02/02/90,00:00,8.40625,8.6875,8.3125,8.5625
25,02/05/90,00:00,8.5625,8.8125, 8.50, 8.75
26,02/06/90,00:00, 8.75, 8.75, 8.50,8.6875
27,02/07/90,00:00, 8.50, 8.50,8.125,8.3125
28,02/08/90,00:00,8.3125,8.375,8.0625, 8.25
29,02/09/90,00:00,8.3125,8.625,8.3125,8.5625
30,02/12/90,00:00,8.5625,8.625,8.4375, 8.50
31,02/13/90,00:00, 8.50, 8.75,8.4375,8.625
32,02/14/90,00:00,8.625,8.6875,8.4375,8.5625
33,02/15/90,00:00,8.5625,8.5625,8.375,8.5625
34,02/16/90,00:00,8.5625,8.625,8.4375,8.4375
35,02/20/90,00:00,8.4375,8.4375, 8.25,8.375
36,02/21/90,00:00,8.375,8.5625,8.125, 8.50
37,02/22/90,00:00, 8.50,8.625, 8.25, 8.25
38,02/23/90,00:00, 8.25,8.375,8.1875,8.3125
39,02/26/90,00:00,8.3125,8.5625, 8.25, 8.50
40,02/27/90,00:00, 8.50,8.5625,8.375,8.375
41,02/28/90,00:00,8.375, 8.50,8.3125, 8.50
42,03/01/90,00:00, 8.50,8.6875,8.3125,8.5625
