Bar,Date,Time,Open,High,Low,Close
4952,08/26/09,00:00,168.92,169.55,166.76,167.41
4953,08/27/09,00:00,168.75,169.57,164.83,169.45
4954,08/28/09,00:00,172.27,172.49,168.53,170.05
4955,08/31/09,00:00,168.16,168.85,166.50,168.21
4956,09/01/09,00:00,167.99,170.00,164.94,165.298
4957,09/02/09,00:00,164.62,167.61,164.11,165.18
4958,09/03/09,00:00,166.44,167.10,165.00,166.55
4959,09/04/09,00:00,167.2757,170.70,167.09,170.31
4960,09/08/09,00:00,172.98,173.14,172.00,172.93
4961,09/09/09,00:00,172.78,174.47,169.70,171.14
4962,09/10/09,00:00,172.06,173.25,170.81,172.56
4963,09/11/09,00:00,172.91,173.18,170.87,172.16
4964,09/14/09,00:00,170.83,173.90,170.25,173.72
4965,09/15/09,00:00,174.04,175.65,173.59,175.16
4966,09/16/09,00:00,177.99,182.75,177.88,181.87
4967,09/17/09,00:00,181.98,186.79,181.97,184.55
4968,09/18/09,00:00,185.83,186.55,184.76,185.02
4969,09/21/09,00:00,184.29,185.16,181.62,184.02
4970,09/22/09,00:00,185.19,185.38,182.85,184.48
4971,09/23/09,00:00,185.40,188.90,185.03,185.50
4972,09/24/09,00:00,187.20,187.70,182.77,183.82
4973,09/25/09,00:00,182.01,185.50,181.44,182.37
4974,09/28/09,00:00,183.87,186.68,183.33,186.1519
4975,09/29/09,00:00,186.73,187.40,184.31,185.38
4976,09/30/09,00:00,186.13,186.45,182.6127,185.35
4977,10/01/09,00:00,185.35,186.22,180.70,180.8599
4978,10/02/09,00:00,181.41,185.94,181.35,184.90
4979,10/05/09,00:00,186.20,186.86,184.2701,186.024
4980,10/06/09,00:00,187.74,190.01,187.30,190.01
4981,10/07/09,00:00,189.76,190.55,189.032,190.25
4982,10/08/09,00:00,190.66,191.45,188.89,189.27
4983,10/09/09,00:00,188.97,190.70,188.62,190.47
4984,10/12/09,00:00,191.02,191.51,189.64,190.81
4985,10/13/09,00:00,190.63,191.17,189.70,190.02
4986,10/14/09,00:00,192.25,192.32,190.23,191.29
4987,10/15/09,00:00,189.63,190.92,189.53,190.56
4988,10/16/09,00:00,189.35,190.36,187.84,188.05
4989,10/19/09,00:00,187.85,190.00,185.55,189.86
4990,10/20/09,00:00,200.60,201.75,197.85,198.76
4991,10/21/09,00:00,199.52,208.7099,199.23,204.92
4992,10/22/09,00:00,204.70,207.85,202.51,205.20
4993,10/23/09,00:00,205.70,205.80,203.23,203.94
4994,10/26/09,00:00,203.67,206.75,200.10,202.48
4995,10/27/09,00:00,201.66,202.81,196.45,197.37
4996,10/28/09,00:00,197.71,198.02,191.10,192.40
4997,10/29/09,00:00,195.00,196.81,192.14,196.35
4998,10/30/09,00:00,196.056,196.80,188.17,188.50
4999,11/02/09,00:00,189.80,192.88,185.57,189.31
5000,11/03/09,00:00,187.85,189.52,185.92,188.75
5001,11/04/09,00:00,190.73,193.85,190.23,190.81
5002,11/05/09,00:00,192.40,195.00,191.82,194.0301
5003,11/06/09,00:00,192.51,195.19,192.40,194.34
5004,11/09/09,00:00,196.94,201.90,196.26,201.46
5005,11/10/09,00:00,201.02,204.98,201.01,202.98
5006,11/11/09,00:00,204.56,205.00,201.83,203.25
5007,11/12/09,00:00,203.14,204.87,201.43,201.99
5008,11/13/09,00:00,202.87,204.83,202.07,204.45
5009,11/16/09,00:00,205.48,208.00,205.01,206.63
5010,11/17/09,00:00,206.08,207.44,205.00,207.00
5011,11/18/09,00:00,206.54,207.00,204.00,205.96
5012,11/19/09,00:00,204.61,204.61,199.80,200.51
5013,11/20/09,00:00,199.15,200.39,197.76,199.92
5014,11/23/09,00:00,203.00,206.00,202.95,205.88
5015,11/24/09,00:00,205.33,205.88,202.90,204.44
5016,11/25/09,00:00,205.40,205.65,203.76,204.19
5017,11/27/09,00:00,199.22,202.96,198.37,200.59
5018,11/30/09,00:00,201.11,201.68,198.77,199.91
5019,12/01/09,00:00,202.24,202.77,196.83,196.97
5020,12/02/09,00:00,198.96,201.42,195.75,196.23
5021,12/03/09,00:00,197.42,198.98,196.27,196.48
5022,12/04/09,00:00,199.6995,199.88,190.28,193.32
5023,12/07/09,00:00,193.32,193.77,188.68,188.95
5024,12/08/09,00:00,189.36,192.35,188.70,189.87
5025,12/09/09,00:00,191.28,198.16,190.31,197.80
5026,12/10/09,00:00,199.50,199.70,196.12,196.43
5027,12/11/09,00:00,197.78,198.00,193.43,194.67
5028,12/14/09,00:00,195.37,197.43,192.56,196.98
5029,12/15/09,00:00,195.83,197.51,193.27,194.17
5030,12/16/09,00:00,195.10,196.50,194.55,195.03
5031,12/17/09,00:00,194.26,195.00,191.00,191.86
5032,12/18/09,00:00,193.17,195.503,192.60,195.43
5033,12/21/09,00:00,196.05,199.75,195.67,198.23
5034,12/22/09,00:00,199.44,200.85,198.66,200.36
5035,12/23/09,00:00,201.25,202.38,200.81,202.10
5036,12/24/09,00:00,203.55,209.35,203.35,209.04
5037,12/28/09,00:00,211.72,213.95,209.611,211.61
5038,12/29/09,00:00,212.63,212.72,208.73,209.10
5039,12/30/09,00:00,208.83,212.00,208.31,211.64
5040,12/31/09,00:00,213.13,213.35,210.56,210.732
5041,01/04/10,00:00,213.43,214.50,212.38,214.01
5042,01/05/10,00:00,214.60,215.59,213.25,214.38
5043,01/06/10,00:00,214.38,215.23,210.75,210.97
5044,01/07/10,00:00,211.75,212.00,209.05,210.58
5045,01/08/10,00:00,210.30,212.00,209.06,211.98
5046,01/11/10,00:00,212.80,213.00,208.45,210.11
5047,01/12/10,00:00,209.19,209.77,206.42,207.72
5048,01/13/10,00:00,207.87,210.93,204.10,210.65
