Bar,Date,Time,Open,High,Low,Close
1,08/28/12,10:02,676.00,678.00,676.00,677.99
2,08/28/12,10:18,677.26,677.26,677.26,677.26
3,08/28/12,10:20,677.00,677.00,677.00,677.00
4,08/28/12,10:31,677.97,678.00,677.97,678.00
5,08/28/12,10:32,678.00,678.00,678.00,678.00
6,08/28/12,10:33,678.00,678.00,678.00,678.00
7,08/28/12,10:47,678.56,678.56,678.56,678.56
8,08/28/12,11:23,678.51,678.51,678.51,678.51
9,08/28/12,11:34,678.50,678.50,678.50,678.50
10,08/28/12,11:57,678.75,678.75,678.75,678.75
11,08/28/12,12:01,678.21,678.21,678.20,678.20
12,08/28/12,12:05,678.30,678.30,678.30,678.30
13,08/28/12,12:09,678.30,678.30,678.30,678.30
14,08/28/12,12:27,678.00,678.00,678.00,678.00
15,08/28/12,12:44,677.70,677.70,677.70,677.70
16,08/28/12,13:01,677.16,677.50,677.15,677.50
17,08/28/12,13:02,677.25,677.25,677.25,677.25
18,08/28/12,13:03,677.00,677.00,677.00,677.00
19,08/28/12,13:05,676.70,676.70,676.50,676.50
20,08/28/12,13:07,676.50,676.50,676.20,676.20
21,08/28/12,13:08,676.20,676.20,676.05,676.05
22,08/28/12,13:09,676.03,676.03,676.03,676.03
23,08/28/12,13:10,676.15,676.15,676.15,676.15
24,08/28/12,13:12,676.05,676.30,676.05,676.30
25,08/28/12,13:16,676.27,676.27,676.27,676.27
26,08/28/12,13:17,676.50,676.50,676.50,676.50
27,08/28/12,13:19,676.59,676.77,676.33,676.33
28,08/28/12,13:24,676.60,676.60,676.40,676.40
29,08/28/12,13:27,676.45,676.45,676.40,676.40
30,08/28/12,13:28,676.77,676.83,676.77,676.83
31,08/28/12,13:29,676.87,676.87,676.87,676.87
32,08/28/12,13:33,676.75,676.75,676.65,676.65
33,08/28/12,13:37,676.40,676.40,676.40,676.40
34,08/28/12,13:40,676.60,676.60,676.60,676.60
35,08/28/12,13:41,676.19,676.19,676.19,676.19
36,08/28/12,13:42,676.20,676.20,676.20,676.20
37,08/28/12,13:45,676.10,676.10,676.06,676.07
38,08/28/12,13:47,676.04,676.04,675.60,675.60
39,08/28/12,13:49,675.93,675.93,675.93,675.93
40,08/28/12,13:51,675.92,675.92,675.92,675.92
41,08/28/12,13:54,675.63,675.63,675.63,675.63
42,08/28/12,13:55,675.92,676.20,675.89,676.00
43,08/28/12,13:56,676.29,676.38,676.29,676.38
44,08/28/12,13:57,676.00,676.00,676.00,676.00
45,08/28/12,14:00,676.39,676.41,675.73,675.73
46,08/28/12,14:01,675.85,675.85,675.50,675.69
47,08/28/12,14:02,675.79,676.00,675.58,675.70
48,08/28/12,14:03,675.70,675.90,675.70,675.79
49,08/28/12,14:04,675.97,675.97,675.80,675.80
50,08/28/12,14:05,675.70,675.70,675.29,675.29
51,08/28/12,14:06,675.50,675.75,675.50,675.75
52,08/28/12,14:07,675.21,675.35,674.90,674.90
53,08/28/12,14:08,674.71,674.75,674.60,674.62
54,08/28/12,14:09,674.97,674.97,674.96,674.96
55,08/28/12,14:11,674.90,675.00,674.76,675.00
56,08/28/12,14:12,674.98,675.00,674.97,675.00
