Bar,Date,Time,Open,High,Low,Close
1,06/30/83,00:00,318.70,318.70,318.70,318.70
2,07/01/83,00:00,321.58,321.58,321.58,321.58
3,07/05/83,00:00,317.15,317.15,317.15,317.15
4,07/06/83,00:00,319.14,319.14,319.14,319.14
5,07/07/83,00:00,320.03,320.03,320.03,320.03
6,07/08/83,00:00,319.57,319.57,319.57,319.57
7,07/11/83,00:00,320.38,320.38,320.38,320.38
8,07/12/83,00:00,316.93,316.93,316.93,316.93
9,07/13/83,00:00,314.59,314.59,314.59,314.59
10,07/14/83,00:00,315.49,315.49,315.49,315.49
11,07/15/83,00:00,312.87,312.87,312.87,312.87
12,07/18/83,00:00,310.29,310.29,310.29,310.29
13,07/19/83,00:00,311.17,311.17,311.17,311.17
14,07/20/83,00:00,316.76,316.76,316.76,316.76
15,07/21/83,00:00,319.29,319.29,319.29,319.29
16,07/22/83,00:00,320.71,320.71,320.71,320.71
17,07/25/83,00:00,320.84,320.84,320.84,320.84
18,07/26/83,00:00,320.38,320.38,320.38,320.38
19,07/27/83,00:00,315.04,315.04,315.04,315.04
20,07/28/83,00:00,308.47,308.47,308.47,308.47
21,07/29/83,00:00,303.96,303.96,303.96,303.96
22,08/01/83,00:00,302.08,302.08,302.08,302.08
23,08/02/83,00:00,303.18,303.18,303.18,303.18
24,08/03/83,00:00,303.86,303.86,303.86,303.86
25,08/04/83,00:00,299.70,299.70,299.70,299.70
26,08/05/83,00:00,300.20,300.20,300.20,300.20
27,08/08/83,00:00,294.93,294.93,294.93,294.93
28,08/09/83,00:00,294.26,294.26,294.26,294.26
29,08/10/83,00:00,296.65,296.65,296.65,296.65
30,08/11/83,00:00,297.56,297.56,297.56,297.56
31,08/12/83,00:00,299.58,299.58,299.58,299.58
32,08/15/83,00:00,301.78,301.78,301.78,301.78
33,08/16/83,00:00,299.85,299.85,299.85,299.85
34,08/17/83,00:00,300.84,300.84,300.84,300.84
35,08/18/83,00:00,299.78,299.78,299.78,299.78
36,08/19/83,00:00,299.10,299.10,299.10,299.10
37,08/22/83,00:00,298.76,298.76,298.76,298.76
38,08/23/83,00:00,293.66,293.66,293.66,293.66
39,08/24/83,00:00,290.86,290.86,290.86,290.86
40,08/25/83,00:00,289.53,289.53,289.53,289.53
41,08/26/83,00:00,290.31,290.31,290.31,290.31
42,08/29/83,00:00,289.36,289.36,289.36,289.36
43,08/30/83,00:00,289.86,289.86,289.86,289.86
44,08/31/83,00:00,292.42,292.42,292.42,292.42
45,09/01/83,00:00,294.55,294.55,294.55,294.55
46,09/02/83,00:00,297.85,297.85,297.85,297.85
47,09/06/83,00:00,301.23,301.23,301.23,301.23
48,09/07/83,00:00,300.76,300.76,300.76,300.76
49,09/08/83,00:00,301.79,301.79,301.79,301.79
50,09/09/83,00:00,302.23,302.23,302.23,302.23
51,09/12/83,00:00,300.76,300.76,300.76,300.76
52,09/13/83,00:00,297.93,297.93,297.93,297.93
53,09/14/83,00:00,298.34,298.34,298.34,298.34
54,09/15/83,00:00,297.19,297.19,297.19,297.19
55,09/16/83,00:00,298.27,298.27,298.27,298.27
56,09/19/83,00:00,301.83,301.83,301.83,301.83
57,09/20/83,00:00,303.36,303.36,303.36,303.36
58,09/21/83,00:00,303.26,303.26,303.26,303.26
59,09/22/83,00:00,304.56,304.56,304.56,304.56
60,09/23/83,00:00,303.61,303.61,303.61,303.61
61,09/26/83,00:00,303.77,303.77,303.77,303.77
62,09/27/83,00:00,300.78,300.78,300.78,300.78
63,09/28/83,00:00,299.76,299.76,299.76,299.76
64,09/29/83,00:00,299.29,299.29,299.29,299.29
65,09/30/83,00:00,296.65,296.65,296.65,296.65
66,10/03/83,00:00,294.64,294.64,294.64,294.64
67,10/04/83,00:00,294.81,294.81,294.81,294.81
68,10/05/83,00:00,294.57,294.57,294.57,294.57
69,10/06/83,00:00,295.78,295.78,295.78,295.78
70,10/07/83,00:00,297.36,297.36,297.36,297.36
71,10/10/83,00:00,297.42,297.42,297.42,297.42
72,10/11/83,00:00,295.41,295.41,295.41,295.41
73,10/12/83,00:00,291.59,291.59,291.59,291.59
74,10/13/83,00:00,290.44,290.44,290.44,290.44
75,10/14/83,00:00,289.65,289.65,289.65,289.65
76,10/17/83,00:00,289.69,289.69,289.69,289.69
77,10/18/83,00:00,283.62,283.62,283.62,283.62
78,10/19/83,00:00,279.85,279.85,279.85,279.85
79,10/20/83,00:00,281.25,281.25,281.25,281.25
80,10/21/83,00:00,279.49,279.49,279.49,279.49
81,10/24/83,00:00,276.81,276.81,276.81,276.81
82,10/25/83,00:00,278.60,278.60,278.60,278.60
83,10/26/83,00:00,277.85,277.85,277.85,277.85
84,10/27/83,00:00,277.50,277.50,277.50,277.50
85,10/28/83,00:00,276.14,276.14,276.14,276.14
86,10/31/83,00:00,274.55,274.55,274.55,274.55
87,11/01/83,00:00,273.04,273.04,273.04,273.04
88,11/02/83,00:00,275.18,275.18,275.18,275.18
89,11/03/83,00:00,274.86,274.86,274.86,274.86
90,11/04/83,00:00,273.17,273.17,273.17,273.17
91,11/07/83,00:00,271.12,271.12,271.12,271.12
92,11/08/83,00:00,269.57,269.57,269.57,269.57
93,11/09/83,00:00,271.00,271.00,271.00,271.00
94,11/10/83,00:00,273.08,273.08,273.08,273.08
95,11/11/83,00:00,277.13,277.13,277.13,277.13
96,11/14/83,00:00,279.51,279.51,279.51,279.51
97,11/15/83,00:00,278.92,278.92,278.92,278.92
98,11/16/83,00:00,279.94,279.94,279.94,279.94
99,11/17/83,00:00,281.26,281.26,281.26,281.26
100,11/18/83,00:00,281.28,281.28,281.28,281.28
101,11/21/83,00:00,283.05,283.05,283.05,283.05
102,11/22/83,00:00,284.55,284.55,284.55,284.55
103,11/23/83,00:00,284.69,284.69,284.69,284.69
104,11/25/83,00:00,285.49,285.49,285.49,285.49
105,11/28/83,00:00,284.47,284.47,284.47,284.47
106,11/29/83,00:00,284.62,284.62,284.62,284.62
107,11/30/83,00:00,285.67,285.67,285.67,285.67
108,12/01/83,00:00,286.07,286.07,286.07,286.07
109,12/02/83,00:00,283.91,283.91,283.91,283.91
