Bar,Date,Time,Open,High,Low,Close
6511,04/20/09,00:00,1641.35,1643.32,1606.86,1608.21
6512,04/21/09,00:00,1599.03,1643.85,1598.93,1643.85
6513,04/22/09,00:00,1630.14,1679.82,1624.73,1646.12
6514,04/23/09,00:00,1651.47,1654.85,1625.88,1652.21
6515,04/24/09,00:00,1666.43,1702.87,1657.49,1694.29
6516,04/27/09,00:00,1672.87,1700.53,1670.49,1679.41
6517,04/28/09,00:00,1668.26,1690.06,1661.40,1673.81
6518,04/29/09,00:00,1688.66,1726.69,1687.29,1711.94
6519,04/30/09,00:00,1732.47,1753.61,1710.07,1717.30
6520,05/01/09,00:00,1719.29,1728.10,1703.52,1719.20
6521,05/04/09,00:00,1733.71,1763.56,1729.31,1763.56
6522,05/05/09,00:00,1757.26,1759.42,1735.37,1754.12
6523,05/06/09,00:00,1768.69,1770.29,1730.97,1759.10
6524,05/07/09,00:00,1772.10,1773.13,1702.54,1716.24
6525,05/08/09,00:00,1733.50,1747.41,1711.01,1739.00
6526,05/11/09,00:00,1713.65,1747.97,1705.87,1731.24
6527,05/12/09,00:00,1742.86,1743.52,1695.87,1715.92
6528,05/13/09,00:00,1696.80,1697.76,1664.19,1664.19
6529,05/14/09,00:00,1672.48,1701.22,1667.94,1689.21
6530,05/15/09,00:00,1687.49,1703.45,1676.56,1680.14
6531,05/18/09,00:00,1696.82,1732.36,1689.55,1732.36
6532,05/19/09,00:00,1727.00,1750.05,1719.92,1734.54
6533,05/20/09,00:00,1743.60,1767.47,1722.32,1727.84
6534,05/21/09,00:00,1709.83,1719.58,1677.77,1695.25
6535,05/22/09,00:00,1702.06,1711.98,1682.24,1692.01
6536,05/26/09,00:00,1677.72,1751.47,1677.54,1750.43
6537,05/27/09,00:00,1745.56,1768.22,1728.96,1731.08
6538,05/28/09,00:00,1744.23,1754.95,1714.48,1751.79
6539,05/29/09,00:00,1756.26,1774.33,1742.99,1774.33
6540,06/01/09,00:00,1796.09,1833.18,1792.80,1828.68
6541,06/02/09,00:00,1821.22,1846.65,1815.83,1836.80
6542,06/03/09,00:00,1825.60,1828.09,1806.51,1825.92
6543,06/04/09,00:00,1829.84,1850.04,1825.62,1850.02
6544,06/05/09,00:00,1864.02,1865.95,1834.63,1849.42
6545,06/08/09,00:00,1836.87,1857.80,1818.59,1842.40
6546,06/09/09,00:00,1850.48,1869.52,1846.26,1860.13
6547,06/10/09,00:00,1872.01,1872.70,1827.61,1853.08
6548,06/11/09,00:00,1854.75,1879.92,1854.75,1862.37
6549,06/12/09,00:00,1852.43,1858.80,1833.39,1858.80
6550,06/15/09,00:00,1837.94,1838.33,1803.07,1816.38
6551,06/16/09,00:00,1825.20,1831.18,1795.55,1796.18
6552,06/17/09,00:00,1799.22,1824.20,1785.34,1808.06
6553,06/18/09,00:00,1809.04,1816.60,1795.74,1807.72
6554,06/19/09,00:00,1824.99,1837.58,1817.07,1827.47
6555,06/22/09,00:00,1809.53,1810.58,1765.85,1766.19
6556,06/23/09,00:00,1771.42,1777.58,1753.78,1764.92
6557,06/24/09,00:00,1780.88,1807.08,1780.25,1792.34
6558,06/25/09,00:00,1783.19,1829.67,1779.18,1829.54
6559,06/26/09,00:00,1819.16,1840.98,1816.84,1838.22
6560,06/29/09,00:00,1842.09,1854.09,1825.03,1844.06
6561,06/30/09,00:00,1845.47,1854.69,1824.95,1835.04
6562,07/01/09,00:00,1846.12,1861.62,1843.79,1845.72
6563,07/02/09,00:00,1823.69,1823.91,1795.95,1796.52
6564,07/06/09,00:00,1783.50,1793.42,1770.11,1787.40
6565,07/07/09,00:00,1787.44,1788.97,1745.38,1746.17
6566,07/08/09,00:00,1756.00,1757.67,1727.05,1747.17
6567,07/09/09,00:00,1756.97,1763.63,1747.44,1752.55
6568,07/10/09,00:00,1744.61,1764.11,1738.26,1756.03
6569,07/13/09,00:00,1761.03,1793.21,1736.95,1793.21
6570,07/14/09,00:00,1790.70,1800.73,1782.85,1799.73
6571,07/15/09,00:00,1827.61,1863.29,1824.31,1862.90
6572,07/16/09,00:00,1856.05,1887.89,1854.70,1885.03
6573,07/17/09,00:00,1880.31,1887.34,1873.81,1886.61
6574,07/20/09,00:00,1896.99,1909.89,1890.00,1909.29
6575,07/21/09,00:00,1917.39,1917.46,1892.17,1916.20
6576,07/22/09,00:00,1908.83,1934.61,1907.25,1926.38
6577,07/23/09,00:00,1924.96,1979.34,1924.77,1973.60
6578,07/24/09,00:00,1943.23,1966.26,1937.64,1965.96
6579,07/27/09,00:00,1964.62,1971.38,1946.95,1967.89
6580,07/28/09,00:00,1957.26,1978.43,1947.89,1975.51
6581,07/29/09,00:00,1965.32,1970.65,1953.36,1967.76
6582,07/30/09,00:00,1986.21,2009.81,1980.08,1984.30
6583,07/31/09,00:00,1980.72,1995.05,1977.65,1978.50
6584,08/03/09,00:00,1998.35,2008.61,1985.88,2008.61
6585,08/04/09,00:00,1996.38,2015.59,1993.74,2011.31
6586,08/05/09,00:00,2014.45,2014.45,1980.68,1993.05
6587,08/06/09,00:00,1999.21,2004.37,1967.68,1973.16
6588,08/07/09,00:00,1997.00,2012.33,1984.50,2000.25
6589,08/10/09,00:00,1991.44,1999.55,1979.39,1992.24
6590,08/11/09,00:00,1985.06,1986.85,1962.08,1969.73
6591,08/12/09,00:00,1970.95,2015.26,1970.25,1998.72
6592,08/13/09,00:00,2009.27,2013.43,1986.87,2009.35
6593,08/14/09,00:00,2005.79,2006.73,1969.68,1985.52
6594,08/17/09,00:00,1949.23,1949.23,1929.64,1930.84
6595,08/18/09,00:00,1940.55,1958.71,1935.33,1955.92
6596,08/19/09,00:00,1933.39,1972.32,1931.91,1969.24
6597,08/20/09,00:00,1967.57,1992.22,1965.69,1989.22
6598,08/21/09,00:00,2000.15,2021.86,1994.33,2020.90
6599,08/24/09,00:00,2026.11,2036.03,2012.00,2017.98
6600,08/25/09,00:00,2025.59,2040.59,2019.17,2024.23
6601,08/26/09,00:00,2021.30,2034.31,2013.52,2024.43
6602,08/27/09,00:00,2021.31,2029.27,1993.03,2027.73
6603,08/28/09,00:00,2050.53,2059.48,2017.42,2028.77
6604,08/31/09,00:00,2011.14,2013.65,1997.53,2009.06
6605,09/01/09,00:00,2001.30,2034.78,1965.48,1968.89
6606,09/02/09,00:00,1960.07,1976.35,1958.51,1967.07
6607,09/03/09,00:00,1975.85,1983.37,1958.04,1983.20
6608,09/04/09,00:00,1986.98,2018.92,1982.05,2018.78
6609,09/08/09,00:00,2034.74,2038.63,2023.03,2037.77
6610,09/09/09,00:00,2038.92,2066.34,2033.47,2060.39
