Bar,Date,Time,Open,High,Low,Close
1,10/28/11,00:00,594.52,602.30,594.25,600.14
2,10/31/11,00:00,595.09,599.69,591.67,592.64
3,11/01/11,00:00,580.10,585.51,576.75,578.65
4,11/02/11,00:00,584.90,587.96,580.48,584.82
5,11/03/11,00:00,587.00,597.50,583.72,597.50
6,11/04/11,00:00,593.50,599.74,592.43,596.14
7,11/07/11,00:00,593.32,608.78,592.23,608.33
8,11/08/11,00:00,609.00,614.37,603.60,612.34
9,11/09/11,00:00,604.26,609.39,598.66,600.95
10,11/10/11,00:00,605.935,605.9473,591.56,595.08
11,11/11/11,00:00,601.30,612.09,598.60,608.35
12,11/14/11,00:00,608.00,618.08,607.78,613.00
13,11/15/11,00:00,612.80,618.08,610.50,616.56
14,11/16/11,00:00,612.08,618.30,610.61,611.47
15,11/17/11,00:00,610.05,612.29,596.78,600.87
16,11/18/11,00:00,602.00,604.50,593.75,594.88
17,11/21/11,00:00,587.76,588.50,572.09,580.94
18,11/22/11,00:00,580.00,584.97,575.24,580.00
19,11/23/11,00:00,575.35,580.25,570.11,570.11
20,11/25/11,00:00,565.19,574.27,561.33,563.00
21,11/28/11,00:00,579.37,588.82,576.50,588.19
22,11/29/11,00:00,587.88,590.36,581.33,582.93
23,11/30/11,00:00,597.95,599.51,592.09,599.39
24,12/01/11,00:00,600.00,616.00,599.00,613.77
25,12/02/11,00:00,617.05,624.00,616.26,620.36
26,12/05/11,00:00,627.64,631.90,622.40,625.65
27,12/06/11,00:00,622.99,628.62,620.24,623.77
28,12/07/11,00:00,621.68,625.66,618.10,623.39
29,12/08/11,00:00,621.04,627.45,615.30,616.05
30,12/09/11,00:00,618.00,629.13,617.01,627.42
31,12/12/11,00:00,621.88,626.18,620.29,625.39
32,12/13/11,00:00,628.76,636.5599,622.85,625.63
33,12/14/11,00:00,621.848,624.32,612.49,618.07
34,12/15/11,00:00,622.52,624.00,618.69,619.54
35,12/16/11,00:00,624.32,629.32,621.47,625.96
36,12/19/11,00:00,628.01,628.50,620.00,621.83
37,12/20/11,00:00,628.00,631.84,627.99,630.37
38,12/21/11,00:00,630.01,631.82,618.96,625.82
39,12/22/11,00:00,627.95,631.73,627.01,629.70
40,12/23/11,00:00,632.00,634.68,630.56,633.14
41,12/27/11,00:00,632.05,644.49,632.00,640.25
42,12/28/11,00:00,642.75,645.00,638.10,639.70
43,12/29/11,00:00,641.49,643.00,635.20,642.40
44,12/30/11,00:00,642.02,646.76,642.02,645.90
45,01/03/12,00:00,652.94,668.15,652.37,665.41
46,01/04/12,00:00,665.03,670.25,660.62,668.28
47,01/05/12,00:00,662.13,663.97,656.23,659.01
48,01/06/12,00:00,659.15,660.00,649.79,650.02
49,01/09/12,00:00,646.50,647.00,621.23,622.46
50,01/10/12,00:00,629.75,633.80,616.91,623.14
51,01/11/12,00:00,623.50,629.39,621.124,625.96
52,01/12/12,00:00,631.22,632.89,626.50,629.64
53,01/13/12,00:00,626.26,626.95,621.06,624.99
54,01/17/12,00:00,631.98,631.98,625.68,628.58
55,01/18/12,00:00,626.63,634.00,622.12,632.91
56,01/19/12,00:00,640.99,640.99,631.46,639.57
57,01/20/12,00:00,590.53,591.00,581.70,585.99
58,01/23/12,00:00,586.00,588.66,583.16,585.52
59,01/24/12,00:00,586.32,587.68,578.00,580.93
60,01/25/12,00:00,577.51,578.71,566.38,569.49
61,01/26/12,00:00,571.98,574.48,564.55,568.10
62,01/27/12,00:00,570.78,580.32,569.33,579.98
63,01/30/12,00:00,578.05,580.00,573.40,577.69
64,01/31/12,00:00,583.00,584.00,575.15,580.11
65,02/01/12,00:00,584.94,585.50,579.14,580.83
66,02/02/12,00:00,584.87,586.41,582.08,585.11
