Bar,Date,Time,Open,High,Low,Close
1,01/02/90,00:00,1.078125,1.125,1.0625,1.125
2,01/03/90,00:00,1.125,1.132813,1.09375,1.09375
3,01/04/90,00:00,1.101563,1.125,1.078125,1.117188
4,01/05/90,00:00,1.117188,1.125,1.101563,1.109375
5,01/08/90,00:00,1.117188,1.132813,1.109375,1.125
6,01/09/90,00:00,1.140625,1.171875,1.140625,1.15625
7,01/10/90,00:00,1.148438,1.164063,1.101563,1.125
8,01/11/90,00:00,1.125,1.148438,1.117188,1.125
9,01/12/90,00:00,1.101563,1.125,1.09375,1.101563
10,01/15/90,00:00,1.101563,1.117188,1.085938,1.109375
11,01/16/90,00:00,1.109375,1.179688,1.09375,1.171875
12,01/17/90,00:00,1.171875,1.203125,1.171875,1.175781
13,01/18/90,00:00,1.171875,1.171875,1.140625,1.164063
14,01/19/90,00:00,1.171875,1.195313,1.171875,1.183594
15,01/22/90,00:00,1.179688,1.1875,1.148438,1.148438
16,01/23/90,00:00,1.171875,1.171875,1.140625,1.148438
17,01/24/90,00:00,1.125,1.191406,1.109375,1.1875
18,01/25/90,00:00,1.195313,1.226563,1.1875,1.195313
19,01/26/90,00:00,1.195313,1.242188,1.195313,1.210938
20,01/29/90,00:00,1.21875,1.234375,1.164063,1.195313
21,01/30/90,00:00,1.1875,1.195313,1.164063,1.179688
22,01/31/90,00:00,1.1875,1.234375,1.179688,1.234375
23,02/01/90,00:00,1.234375,1.242188,1.210938,1.21875
24,02/02/90,00:00,1.21875, 1.25,1.210938,1.234375
25,02/05/90,00:00,1.21875,1.257813,1.210938, 1.25
26,02/06/90,00:00, 1.25, 1.25,1.21875, 1.25
27,02/07/90,00:00,1.242188,1.28125,1.234375,1.257813
28,02/08/90,00:00,1.257813,1.296875,1.257813,1.265625
29,02/09/90,00:00,1.265625,1.273438,1.242188,1.257813
30,02/12/90,00:00,1.257813,1.257813,1.21875,1.226563
31,02/13/90,00:00,1.226563, 1.25,1.210938,1.242188
32,02/14/90,00:00,1.234375, 1.25,1.234375, 1.25
33,02/15/90,00:00,1.234375,1.257813,1.21875,1.257813
34,02/16/90,00:00, 1.25,1.273438,1.242188, 1.25
35,02/20/90,00:00,1.226563,1.238281,1.195313,1.210938
36,02/21/90,00:00,1.203125,1.226563,1.1875,1.214844
37,02/22/90,00:00,1.226563,1.238281,1.203125,1.210938
38,02/23/90,00:00,1.1875,1.21875,1.1875,1.203125
39,02/26/90,00:00,1.203125,1.234375,1.195313,1.234375
40,02/27/90,00:00,1.234375,1.257813,1.210938,1.234375
41,02/28/90,00:00,1.234375,1.257813,1.234375,1.257813
42,03/01/90,00:00, 1.25,1.28125,1.242188,1.269531
43,03/02/90,00:00,1.273438,1.28125,1.257813,1.273438
44,03/05/90,00:00,1.265625,1.273438,1.242188,1.246094
45,03/06/90,00:00,1.242188,1.273438,1.210938,1.269531
46,03/07/90,00:00,1.273438,1.28125,1.242188, 1.25
47,03/08/90,00:00,1.242188,1.257813,1.226563,1.253906
48,03/09/90,00:00, 1.25,1.273438, 1.25,1.265625
49,03/12/90,00:00,1.257813,1.257813,1.21875,1.253906
50,03/13/90,00:00, 1.25,1.273438,1.242188,1.242188
51,03/14/90,00:00,1.242188,1.257813,1.21875,1.242188
52,03/15/90,00:00,1.226563,1.257813,1.210938,1.253906
53,03/16/90,00:00,1.28125,1.34375,1.257813,1.320313
54,03/19/90,00:00,1.3125,1.367188,1.3125,1.359375
55,03/20/90,00:00,1.359375,1.367188,1.335938,1.34375
56,03/21/90,00:00,1.34375,1.351563,1.320313,1.324219
57,03/22/90,00:00,1.320313,1.328125,1.296875,1.3125
58,03/23/90,00:00,1.3125,1.34375,1.3125,1.328125
59,03/26/90,00:00,1.328125,1.34375,1.320313,1.332031
60,03/27/90,00:00,1.328125,1.34375,1.3125,1.34375
61,03/28/90,00:00,1.335938,1.34375,1.320313,1.328125
62,03/29/90,00:00,1.328125,1.328125,1.304688,1.308594
63,03/30/90,00:00,1.304688,1.335938,1.304688,1.304688
64,04/02/90,00:00,1.289063,1.304688,1.273438,1.300781
65,04/03/90,00:00,1.296875,1.324219,1.296875,1.320313
66,04/04/90,00:00,1.3125,1.34375,1.3125,1.328125
67,04/05/90,00:00,1.320313,1.328125,1.304688,1.3125
68,04/06/90,00:00,1.3125,1.3125,1.28125,1.292969
69,04/09/90,00:00,1.289063,1.304688,1.28125,1.296875
70,04/10/90,00:00,1.289063,1.320313,1.289063,1.320313
71,04/11/90,00:00,1.335938,1.367188,1.328125,1.335938
72,04/12/90,00:00,1.367188,1.375,1.328125,1.328125
73,04/16/90,00:00,1.335938,1.34375,1.320313,1.328125
74,04/17/90,00:00,1.3125,1.332031,1.304688,1.324219
75,04/18/90,00:00,1.328125,1.332031,1.28125,1.28125
76,04/19/90,00:00,1.28125,1.28125,1.257813,1.257813
77,04/20/90,00:00,1.257813,1.273438,1.242188, 1.25
78,04/23/90,00:00, 1.25, 1.25,1.210938,1.234375
79,04/24/90,00:00,1.242188,1.242188,1.210938,1.21875
80,04/25/90,00:00,1.21875, 1.25,1.21875,1.242188
81,04/26/90,00:00, 1.25,1.257813,1.226563, 1.25
82,04/27/90,00:00, 1.25,1.257813,1.226563,1.230469
83,04/30/90,00:00,1.226563,1.242188,1.210938,1.234375
84,05/01/90,00:00,1.234375, 1.25,1.234375,1.238281
85,05/02/90,00:00,1.234375,1.257813,1.234375,1.257813
86,05/03/90,00:00,1.265625,1.289063,1.257813,1.28125
87,05/04/90,00:00,1.296875,1.328125,1.289063,1.320313
88,05/07/90,00:00,1.328125,1.359375,1.320313,1.347656
89,05/08/90,00:00,1.351563,1.359375,1.320313,1.34375
90,05/09/90,00:00,1.34375,1.359375,1.335938,1.351563
91,05/10/90,00:00,1.359375,1.367188,1.320313,1.359375
92,05/11/90,00:00,1.359375,1.410156,1.34375,1.40625
93,05/14/90,00:00,1.40625,1.417969,1.390625,1.390625
94,05/15/90,00:00,1.390625,1.398438,1.367188,1.390625
95,05/16/90,00:00,1.390625,1.398438,1.367188,1.398438
96,05/17/90,00:00,1.398438,1.414063,1.390625,1.402344
97,05/18/90,00:00,1.390625,1.414063,1.390625,1.410156
98,05/21/90,00:00,1.414063,1.429688,1.390625,1.421875
99,05/22/90,00:00,1.421875,1.445313,1.421875,1.4375
100,05/23/90,00:00,1.4375, 1.50,1.429688, 1.50
101,05/24/90,00:00, 1.50,1.523438,1.492188,1.507813
102,05/25/90,00:00,1.503906,1.507813,1.476563,1.484375
103,05/29/90,00:00,1.484375,1.523438,1.484375,1.519531
104,05/30/90,00:00,1.523438,1.539063,1.492188,1.496094
105,05/31/90,00:00,1.484375,1.507813,1.476563,1.507813
106,06/01/90,00:00,1.507813,1.523438,1.484375,1.484375
107,06/04/90,00:00,1.484375,1.515625,1.460938,1.515625
108,06/05/90,00:00,1.515625,1.523438,1.460938,1.472656
109,06/06/90,00:00,1.460938,1.492188,1.453125,1.492188
110,06/07/90,00:00,1.484375,1.492188,1.453125,1.464844
111,06/08/90,00:00,1.46875,1.46875,1.429688,1.453125
112,06/11/90,00:00,1.4375,1.484375,1.4375,1.484375
113,06/12/90,00:00,1.492188,1.507813,1.46875,1.496094
114,06/13/90,00:00,1.496094,1.507813,1.484375, 1.50
115,06/14/90,00:00,1.492188,1.523438,1.476563, 1.50
116,06/15/90,00:00, 1.50,1.523438,1.492188,1.507813
117,06/18/90,00:00, 1.50, 1.50,1.460938,1.46875
118,06/19/90,00:00,1.476563,1.484375,1.460938,1.46875
119,06/20/90,00:00,1.476563,1.484375,1.46875,1.484375
120,06/21/90,00:00,1.484375,1.484375,1.46875,1.472656
121,06/22/90,00:00,1.484375, 1.50,1.4375,1.4375
122,06/25/90,00:00,1.4375,1.460938,1.414063,1.421875
123,06/26/90,00:00,1.421875,1.445313,1.414063,1.421875
