Bar,Date,Time,Open,High,Low,Close
1,05/24/10,00:00,20.95,21.2174,20.61,20.67
5136,05/25/10,00:00,20.12,20.87,20.03,20.85
5137,05/26/10,00:00,21.10,21.50,20.6968,20.70
5138,05/27/10,00:00,21.16,21.80,21.12,21.76
5139,05/28/10,00:00,21.68,21.75,21.23,21.42
5140,06/01/10,00:00,21.30,21.735,21.13,21.18
5141,06/02/10,00:00,21.39,21.83,21.16,21.81
5142,06/03/10,00:00,21.9575,22.00,21.472,21.90
5143,06/04/10,00:00,21.54,21.60,20.79,20.945
5144,06/07/10,00:00,20.94,21.03,20.24,20.3075
5145,06/08/10,00:00,20.22,20.23,19.74,20.18
5146,06/09/10,00:00,20.39,20.60,19.86,19.93
5147,06/10/10,00:00,20.35,20.60,20.25,20.55
5148,06/11/10,00:00,20.31,20.75,20.28,20.64
5149,06/14/10,00:00,20.95,21.14,20.82,20.89
5150,06/15/10,00:00,21.11,21.56,21.01,21.48
5151,06/16/10,00:00,21.41,21.65,21.21,21.489
5152,06/17/10,00:00,21.59,21.69,21.20,21.52
5153,06/18/10,00:00,21.56,21.65,21.18,21.40
5154,06/21/10,00:00,21.67,21.69,21.06,21.19
5155,06/22/10,00:00,21.13,21.33,20.86,20.98
5156,06/23/10,00:00,20.94,21.02,20.66,20.81
5157,06/24/10,00:00,20.62,20.79,20.20,20.32
5158,06/25/10,00:00,20.40,20.41,19.89,20.0325
5159,06/28/10,00:00,20.11,20.59,19.91,20.36
5160,06/29/10,00:00,20.00,20.05,19.65,19.79
5161,06/30/10,00:00,19.70,20.03,19.40,19.45
5162,07/01/10,00:00,19.43,19.615,19.00,19.25
5163,07/02/10,00:00,19.21,19.37,18.96,19.20
5164,07/06/10,00:00,19.55,19.76,19.25,19.481
5165,07/07/10,00:00,19.46,20.17,19.39,20.1425
5166,07/08/10,00:00,20.34,20.36,19.83,20.10
5167,07/09/10,00:00,20.06,20.28,19.96,20.24
5168,07/12/10,00:00,20.31,20.65,20.30,20.57
5169,07/13/10,00:00,20.97,22.28,20.82,21.01
5170,07/14/10,00:00,22.06,22.25,21.28,21.36
5171,07/15/10,00:00,21.34,21.59,21.01,21.51
5172,07/16/10,00:00,21.43,21.48,21.00,21.02
5173,07/19/10,00:00,21.17,21.61,21.1595,21.59
5174,07/20/10,00:00,21.16,21.73,21.10,21.65
5175,07/21/10,00:00,21.57,21.65,21.18,21.26
5176,07/22/10,00:00,21.35,21.98,21.34,21.78
5177,07/23/10,00:00,21.64,21.72,21.33,21.69
5178,07/26/10,00:00,21.68,21.735,21.41,21.71
5179,07/27/10,00:00,21.68,21.74,21.39,21.58
5180,07/28/10,00:00,21.64,21.69,21.29,21.33
5181,07/29/10,00:00,21.39,21.48,20.76,21.03
5182,07/30/10,00:00,20.77,20.92,20.58,20.60
5183,08/02/10,00:00,20.90,21.28,20.73,21.15
5184,08/03/10,00:00,21.01,21.03,20.71,20.87
5185,08/04/10,00:00,20.81,20.86,20.45,20.73
5186,08/05/10,00:00,20.64,20.79,20.46,20.67
5187,08/06/10,00:00,20.45,20.81,20.41,20.65
5188,08/09/10,00:00,20.79,20.79,20.41,20.65
5189,08/10/10,00:00,20.11,20.17,19.70,19.82
5190,08/11/10,00:00,19.53,19.58,19.30,19.425
5191,08/12/10,00:00,19.17,19.73,19.08,19.45
5192,08/13/10,00:00,19.33,19.49,19.15,19.15
5193,08/16/10,00:00,19.14,19.56,19.11,19.47
5194,08/17/10,00:00,19.72,19.87,19.50,19.53
5195,08/18/10,00:00,19.53,19.78,19.47,19.59
5196,08/19/10,00:00,18.97,19.13,18.81,18.90
