Bar,Date,Time,Open,High,Low,Close
1,01/02/90,00:00,0.604494,0.615234,0.596681,0.615234
2,01/03/90,00:00,0.620119,0.625981,0.613281,0.618166
3,01/04/90,00:00,0.618166,0.6377,0.615234,0.636719
4,01/05/90,00:00,0.633794,0.6377,0.620119,0.621094
5,01/08/90,00:00,0.617188,0.630863,0.613281,0.630863
6,01/09/90,00:00,0.630863,0.6377,0.625981,0.628906
7,01/10/90,00:00,0.624025,0.632813,0.610353,0.612306
8,01/11/90,00:00,0.615234,0.620119,0.588869,0.599609
9,01/12/90,00:00,0.589844,0.604494,0.582031,0.596681
10,01/15/90,00:00,0.594728,0.602541,0.590822,0.597656
11,01/16/90,00:00,0.592775,0.618166,0.585938,0.615234
12,01/17/90,00:00,0.610353,0.627931,0.602541,0.606447
13,01/18/90,00:00,0.621094,0.659181,0.620119,0.659181
14,01/19/90,00:00,0.660156,0.665044,0.648438,0.652344
15,01/22/90,00:00,0.651369,0.651369,0.627931,0.628906
16,01/23/90,00:00,0.630863,0.632813,0.618166,0.622072
17,01/24/90,00:00,0.610353,0.628906,0.604494,0.628906
18,01/25/90,00:00,0.633794,0.641606,0.627931,0.628906
19,01/26/90,00:00,0.627931,0.632813,0.624025,0.628906
20,01/29/90,00:00,0.633794,0.63965,0.625981,0.633794
21,01/30/90,00:00,0.635744,0.641606,0.624025,0.632813
22,01/31/90,00:00,0.6377,0.641606,0.632813,0.641606
23,02/01/90,00:00,0.641606,0.653325,0.641606,0.649419
24,02/02/90,00:00,0.644531,0.662113,0.644531,0.649419
25,02/05/90,00:00,0.649419,0.653325,0.646488,0.653325
26,02/06/90,00:00,0.651369,0.653325,0.63965,0.651369
27,02/07/90,00:00,0.648438,0.657231,0.644531,0.646488
28,02/08/90,00:00,0.649419,0.659181,0.646488,0.653325
29,02/09/90,00:00,0.653325,0.657231,0.651369,0.655275
30,02/12/90,00:00,0.655275,0.662113,0.651369,0.657231
31,02/13/90,00:00,0.659181,0.660156,0.655275,0.657231
32,02/14/90,00:00,0.660156,0.660156,0.655275,0.659181
33,02/15/90,00:00,0.659181,0.679688,0.659181,0.672856
34,02/16/90,00:00,0.680669,0.684575,0.677738,0.679688
35,02/20/90,00:00,0.677738,0.696294,0.672856,0.695313
36,02/21/90,00:00,0.684575,0.693363,0.664063,0.666994
37,02/22/90,00:00,0.6709,0.680669,0.666994,0.667969
38,02/23/90,00:00,0.664063,0.677738,0.662113,0.675781
39,02/26/90,00:00,0.675781,0.693363,0.674806,0.688481
40,02/27/90,00:00,0.690431,0.690431,0.679688,0.679688
41,02/28/90,00:00,0.679688,0.691406,0.679688,0.684575
42,03/01/90,00:00,0.682619,0.706056,0.682619,0.693363
43,03/02/90,00:00,0.695313,0.723638,0.694338,0.719731
44,03/05/90,00:00,0.717775,0.7334,0.708988,0.729494
45,03/06/90,00:00,0.726563,0.727544,0.710938,0.724613
46,03/07/90,00:00,0.726563,0.73145,0.711919,0.711919
47,03/08/90,00:00,0.713869,0.743169,0.706056,0.737306
48,03/09/90,00:00,0.735356,0.749025,0.729494,0.738281
49,03/12/90,00:00,0.737306,0.753906,0.735356,0.750981
50,03/13/90,00:00,0.752931,0.755863,0.737306,0.737306
51,03/14/90,00:00,0.743169,0.753906,0.735356,0.74805
52,03/15/90,00:00,0.74805,0.774419,0.747075,0.769531
53,03/16/90,00:00,0.776369,0.799806,0.774419,0.790044
54,03/19/90,00:00,0.789063,0.811525,0.784181,0.807619
