Bar,Date,Time,Open,High,Low,Close
5468,09/14/11,00:00,26.17,26.80,25.89,26.50
5469,09/15/11,00:00,26.73,27.03,26.31,26.99
5470,09/16/11,00:00,27.05,27.27,26.83,27.12
5471,09/19/11,00:00,26.80,27.31,26.60,27.21
5472,09/20/11,00:00,27.31,27.50,26.93,26.98
5473,09/21/11,00:00,27.05,27.06,25.97,25.99
5474,09/22/11,00:00,25.30,25.65,24.60,25.06
5475,09/23/11,00:00,24.90,25.15,24.69,25.06
5476,09/26/11,00:00,25.19,25.52,24.73,25.44
5477,09/27/11,00:00,25.66,25.92,25.45,25.67
5478,09/28/11,00:00,25.93,26.37,25.51,25.575
5479,09/29/11,00:00,25.98,26.17,25.09,25.45
5480,09/30/11,00:00,25.20,25.50,24.88,24.89
5481,10/03/11,00:00,24.72,25.335,24.52,24.53
5482,10/04/11,00:00,24.30,25.39,24.26,25.34
5483,10/05/11,00:00,25.42,26.16,25.16,25.89
5484,10/06/11,00:00,25.90,26.40,25.70,26.34
5485,10/07/11,00:00,26.34,26.51,26.20,26.25
5486,10/10/11,00:00,26.58,26.97,26.47,26.94
5487,10/11/11,00:00,26.86,27.07,26.72,27.00
5488,10/12/11,00:00,27.18,27.31,26.90,26.96
5489,10/13/11,00:00,26.76,27.20,26.62,27.18
5490,10/14/11,00:00,27.31,27.50,27.02,27.27
5491,10/17/11,00:00,27.1139,27.42,26.85,26.98
5492,10/18/11,00:00,26.94,27.40,26.80,27.31
5493,10/19/11,00:00,27.37,27.47,27.01,27.13
5494,10/20/11,00:00,27.26,27.34,26.40,27.04
5495,10/21/11,00:00,27.15,27.19,26.80,27.16
5496,10/24/11,00:00,27.06,27.40,27.04,27.19
5497,10/25/11,00:00,27.08,27.23,26.72,26.81
5498,10/26/11,00:00,27.03,27.06,26.10,26.59
5499,10/27/11,00:00,27.13,27.40,26.65,27.25
5500,10/28/11,00:00,27.14,27.19,26.79,26.98
5501,10/31/11,00:00,26.755,27.00,26.62,26.63
5502,11/01/11,00:00,26.19,26.32,25.86,25.99
5503,11/02/11,00:00,26.10,26.20,25.70,26.01
5504,11/03/11,00:00,26.24,26.585,25.98,26.53
5505,11/04/11,00:00,26.38,26.40,26.00,26.25
5506,11/07/11,00:00,26.21,26.82,26.13,26.80
5507,11/08/11,00:00,27.01,27.20,26.685,27.16
5508,11/09/11,00:00,26.59,26.75,26.06,26.20
5509,11/10/11,00:00,26.47,26.50,26.12,26.28
5510,11/11/11,00:00,26.5799,27.075,26.57,26.91
5511,11/14/11,00:00,26.8799,27.00,26.65,26.76
5512,11/15/11,00:00,26.56,26.94,26.40,26.74
5513,11/16/11,00:00,26.47,26.51,26.04,26.07
5514,11/17/11,00:00,26.01,26.04,25.44,25.54
5515,11/18/11,00:00,25.48,25.50,25.15,25.30
5516,11/21/11,00:00,25.24,25.25,24.90,25.00
5517,11/22/11,00:00,24.89,24.96,24.65,24.79
5518,11/23/11,00:00,24.61,24.79,24.47,24.47
5519,11/25/11,00:00,24.38,24.67,24.30,24.30
5520,11/28/11,00:00,24.94,24.97,24.69,24.87
5521,11/29/11,00:00,24.82,25.04,24.75,24.84
5522,11/30/11,00:00,25.3701,25.585,25.14,25.58
5523,12/01/11,00:00,25.56,25.63,25.20,25.28
5524,12/02/11,00:00,25.59,25.62,25.16,25.22
5525,12/05/11,00:00,25.78,25.80,25.50,25.70
5526,12/06/11,00:00,25.81,25.87,25.61,25.66
5527,12/07/11,00:00,25.67,25.76,25.335,25.60
5528,12/08/11,00:00,25.48,25.72,25.37,25.40
5529,12/09/11,00:00,25.52,25.87,25.50,25.70
5530,12/12/11,00:00,25.41,25.57,25.29,25.51
5531,12/13/11,00:00,25.75,26.10,25.651,25.76
5532,12/14/11,00:00,25.72,25.86,25.57,25.59
5533,12/15/11,00:00,25.72,25.88,25.54,25.56
5534,12/16/11,00:00,25.67,26.17,25.63,26.00
5535,12/19/11,00:00,26.02,26.12,25.46,25.53
5536,12/20/11,00:00,25.86,26.10,25.81,26.025
5537,12/21/11,00:00,26.01,26.19,25.44,25.76
5538,12/22/11,00:00,25.82,25.86,25.475,25.81
5539,12/23/11,00:00,25.9101,26.04,25.73,26.03
5540,12/27/11,00:00,25.96,26.14,25.93,26.04
5541,12/28/11,00:00,26.11,26.15,25.76,25.82
5542,12/29/11,00:00,25.95,26.05,25.86,26.02
5543,12/30/11,00:00,26.00,26.12,25.91,25.96
5544,01/03/12,00:00,26.55,26.96,26.39,26.765
5545,01/04/12,00:00,26.8199,27.47,26.78,27.40
5546,01/05/12,00:00,27.38,27.728,27.29,27.68
5547,01/06/12,00:00,27.53,28.19,27.525,28.105
5548,01/09/12,00:00,28.05,28.10,27.72,27.74
5549,01/10/12,00:00,27.93,28.15,27.75,27.84
5550,01/11/12,00:00,27.43,27.98,27.37,27.72
5551,01/12/12,00:00,27.87,28.02,27.645,28.00
5552,01/13/12,00:00,27.93,28.25,27.79,28.25
5553,01/17/12,00:00,28.40,28.65,28.17,28.255
5554,01/18/12,00:00,28.31,28.40,27.97,28.23
5555,01/19/12,00:00,28.16,28.435,28.03,28.12
5556,01/20/12,00:00,28.82,29.74,28.75,29.71
5557,01/23/12,00:00,29.55,29.95,29.35,29.73
5558,01/24/12,00:00,29.47,29.5703,29.18,29.34
5559,01/25/12,00:00,29.07,29.65,29.07,29.56
5560,01/26/12,00:00,29.61,29.70,29.40,29.50
5561,01/27/12,00:00,29.45,29.53,29.17,29.23
5562,01/30/12,00:00,28.97,29.62,28.83,29.61
5563,01/31/12,00:00,29.66,29.70,29.23,29.53
5564,02/01/12,00:00,29.79,30.05,29.76,29.89
5565,02/02/12,00:00,29.90,30.17,29.71,29.95
5566,02/03/12,00:00,30.1401,30.40,30.09,30.24
5567,02/06/12,00:00,30.04,30.22,29.97,30.20
5568,02/07/12,00:00,30.15,30.485,30.05,30.35
5569,02/08/12,00:00,30.26,30.67,30.22,30.66
5570,02/09/12,00:00,30.68,30.80,30.48,30.77
5571,02/10/12,00:00,30.64,30.80,30.36,30.495
5572,02/13/12,00:00,30.63,30.77,30.43,30.58
5573,02/14/12,00:00,30.33,30.46,29.85,30.25
5574,02/15/12,00:00,30.3301,30.39,30.03,30.05
5575,02/16/12,00:00,30.31,31.55,30.30,31.285
5576,02/17/12,00:00,31.20,31.32,30.95,31.25
5577,02/21/12,00:00,31.18,31.61,31.15,31.44
5578,02/22/12,00:00,31.45,31.68,31.18,31.27
