Bar,Date,Time,Open,High,Low,Close
1,11/10/78,00:00,94.77,94.77,94.77,94.77
2,11/13/78,00:00,93.13,93.13,93.13,93.13
3,11/14/78,00:00,92.49,92.49,92.49,92.49
4,11/15/78,00:00,92.71,92.71,92.71,92.71
5,11/16/78,00:00,93.71,93.71,93.71,93.71
6,11/17/78,00:00,94.42,94.42,94.42,94.42
7,11/20/78,00:00,95.25,95.25,95.25,95.25
8,11/21/78,00:00,95.01,95.01,95.01,95.01
9,11/22/78,00:00,95.48,95.48,95.48,95.48
10,11/24/78,00:00,95.79,95.79,95.79,95.79
11,11/27/78,00:00,95.99,95.99,95.99,95.99
12,11/28/78,00:00,95.15,95.15,95.15,95.15
13,11/29/78,00:00,93.75,93.75,93.75,93.75
14,11/30/78,00:00,94.7,94.7,94.7,94.7
15,12/01/78,00:00,96.28,96.28,96.28,96.28
16,12/04/78,00:00,96.15,96.15,96.15,96.15
17,12/05/78,00:00,97.44,97.44,97.44,97.44
18,12/06/78,00:00,97.49,97.49,97.49,97.49
19,12/07/78,00:00,97.08,97.08,97.08,97.08
20,12/08/78,00:00,96.63,96.63,96.63,96.63
21,12/11/78,00:00,97.11,97.11,97.11,97.11
22,12/12/78,00:00,96.59,96.59,96.59,96.59
23,12/13/78,00:00,96.06,96.06,96.06,96.06
24,12/14/78,00:00,96.04,96.04,96.04,96.04
25,12/15/78,00:00,95.33,95.33,95.33,95.33
26,12/18/78,00:00,93.44,93.44,93.44,93.44
27,12/19/78,00:00,94.24,94.24,94.24,94.24
28,12/20/78,00:00,94.68,94.68,94.68,94.68
29,12/21/78,00:00,94.71,94.71,94.71,94.71
30,12/22/78,00:00,96.31,96.31,96.31,96.31
31,12/26/78,00:00,97.52,97.52,97.52,97.52
32,12/27/78,00:00,96.66,96.66,96.66,96.66
33,12/28/78,00:00,96.28,96.28,96.28,96.28
34,12/29/78,00:00,96.11,96.11,96.11,96.11
35,01/02/79,00:00,96.73,96.73,96.73,96.73
36,01/03/79,00:00,97.8,97.8,97.8,97.8
37,01/04/79,00:00,98.58,98.58,98.58,98.58
38,01/05/79,00:00,99.13,99.13,99.13,99.13
39,01/08/79,00:00,98.8,98.8,98.8,98.8
40,01/09/79,00:00,99.33,99.33,99.33,99.33
41,01/10/79,00:00,98.77,98.77,98.77,98.77
42,01/11/79,00:00,99.1,99.1,99.1,99.1
43,01/12/79,00:00,99.93,99.93,99.93,99.93
44,01/15/79,00:00,100.69,100.69,100.69,100.69
45,01/16/79,00:00,99.46,99.46,99.46,99.46
46,01/17/79,00:00,99.48,99.48,99.48,99.48
47,01/18/79,00:00,99.72,99.72,99.72,99.72
48,01/19/79,00:00,99.75,99.75,99.75,99.75
49,01/22/79,00:00,99.9,99.9,99.9,99.9
50,01/23/79,00:00,100.6,100.6,100.6,100.6
51,01/24/79,00:00,100.16,100.16,100.16,100.16
52,01/25/79,00:00,101.19,101.19,101.19,101.19
53,01/26/79,00:00,101.86,101.86,101.86,101.86
54,01/29/79,00:00,101.55,101.55,101.55,101.55
55,01/30/79,00:00,101.05,101.05,101.05,101.05
56,01/31/79,00:00,99.93,99.93,99.93,99.93
57,02/01/79,00:00,99.96,99.96,99.96,99.96
58,02/02/79,00:00,99.5,99.5,99.5,99.5
59,02/05/79,00:00,98.09,98.09,98.09,98.09
60,02/06/79,00:00,98.05,98.05,98.05,98.05
61,02/07/79,00:00,97.16,97.16,97.16,97.16
62,02/08/79,00:00,97.65,97.65,97.65,97.65
63,02/09/79,00:00,97.87,97.87,97.87,97.87
64,02/12/79,00:00,98.2,98.2,98.2,98.2
65,02/13/79,00:00,98.93,98.93,98.93,98.93
66,02/14/79,00:00,98.87,98.87,98.87,98.87
67,02/15/79,00:00,98.73,98.73,98.73,98.73
68,02/16/79,00:00,98.67,98.67,98.67,98.67
69,02/20/79,00:00,99.42,99.42,99.42,99.42
70,02/21/79,00:00,99.07,99.07,99.07,99.07
71,02/22/79,00:00,98.33,98.33,98.33,98.33
72,02/23/79,00:00,97.78,97.78,97.78,97.78
73,02/26/79,00:00,97.67,97.67,97.67,97.67
74,02/27/79,00:00,96.13,96.13,96.13,96.13
75,02/28/79,00:00,96.28,96.28,96.28,96.28
76,03/01/79,00:00,96.9,96.9,96.9,96.9
77,03/02/79,00:00,96.97,96.97,96.97,96.97
78,03/05/79,00:00,98.06,98.06,98.06,98.06
79,03/06/79,00:00,97.87,97.87,97.87,97.87
80,03/07/79,00:00,98.44,98.44,98.44,98.44
81,03/08/79,00:00,99.58,99.58,99.58,99.58
82,03/09/79,00:00,99.54,99.54,99.54,99.54
83,03/12/79,00:00,99.67,99.67,99.67,99.67
84,03/13/79,00:00,99.84,99.84,99.84,99.84
85,03/14/79,00:00,99.71,99.71,99.71,99.71
86,03/15/79,00:00,99.86,99.86,99.86,99.86
87,03/16/79,00:00,100.69,100.69,100.69,100.69
88,03/19/79,00:00,101.06,101.06,101.06,101.06
89,03/20/79,00:00,100.5,100.5,100.5,100.5
90,03/21/79,00:00,101.25,101.25,101.25,101.25
91,03/22/79,00:00,101.67,101.67,101.67,101.67
92,03/23/79,00:00,101.6,101.6,101.6,101.6
93,03/26/79,00:00,101.04,101.04,101.04,101.04
94,03/27/79,00:00,102.48,102.48,102.48,102.48
95,03/28/79,00:00,102.12,102.12,102.12,102.12
96,03/29/79,00:00,102.03,102.03,102.03,102.03
97,03/30/79,00:00,101.59,101.59,101.59,101.59
98,04/02/79,00:00,100.9,100.9,100.9,100.9
99,04/03/79,00:00,102.4,102.4,102.4,102.4
100,04/04/79,00:00,102.65,102.65,102.65,102.65
101,04/05/79,00:00,103.26,103.26,103.26,103.26
102,04/06/79,00:00,103.18,103.18,103.18,103.18
103,04/09/79,00:00,102.87,102.87,102.87,102.87
104,04/10/79,00:00,103.34,103.34,103.34,103.34
105,04/11/79,00:00,102.31,102.31,102.31,102.31
106,04/12/79,00:00,102,102,102,102
107,04/16/79,00:00,101.12,101.12,101.12,101.12
108,04/17/79,00:00,101.24,101.24,101.24,101.24
109,04/18/79,00:00,101.7,101.7,101.7,101.7
110,04/19/79,00:00,101.28,101.28,101.28,101.28
111,04/20/79,00:00,101.23,101.23,101.23,101.23
112,04/23/79,00:00,101.57,101.57,101.57,101.57
113,04/24/79,00:00,102.2,102.2,102.2,102.2
114,04/25/79,00:00,102.5,102.5,102.5,102.5
115,04/26/79,00:00,102.01,102.01,102.01,102.01
116,04/27/79,00:00,101.8,101.8,101.8,101.8
117,04/30/79,00:00,101.76,101.76,101.76,101.76
118,05/01/79,00:00,101.68,101.68,101.68,101.68
119,05/02/79,00:00,101.72,101.72,101.72,101.72
120,05/03/79,00:00,101.81,101.81,101.81,101.81
121,05/04/79,00:00,100.69,100.69,100.69,100.69
122,05/07/79,00:00,99.02,99.02,99.02,99.02
123,05/08/79,00:00,99.17,99.17,99.17,99.17
124,05/09/79,00:00,99.46,99.46,99.46,99.46
125,05/10/79,00:00,98.52,98.52,98.52,98.52
126,05/11/79,00:00,98.52,98.52,98.52,98.52
127,05/14/79,00:00,98.06,98.06,98.06,98.06
128,05/15/79,00:00,98.14,98.14,98.14,98.14
129,05/16/79,00:00,98.42,98.42,98.42,98.42
130,05/17/79,00:00,99.94,99.94,99.94,99.94
131,05/18/79,00:00,99.93,99.93,99.93,99.93
132,05/21/79,00:00,100.14,100.14,100.14,100.14
133,05/22/79,00:00,100.51,100.51,100.51,100.51
134,05/23/79,00:00,99.88,99.88,99.88,99.88
135,05/24/79,00:00,99.93,99.93,99.93,99.93
136,05/25/79,00:00,100.22,100.22,100.22,100.22
137,05/29/79,00:00,100.05,100.05,100.05,100.05
138,05/30/79,00:00,99.11,99.11,99.11,99.11
139,05/31/79,00:00,99.08,99.08,99.08,99.08
140,06/01/79,00:00,99.17,99.17,99.17,99.17
141,06/04/79,00:00,99.32,99.32,99.32,99.32
142,06/05/79,00:00,100.62,100.62,100.62,100.62
143,06/06/79,00:00,101.3,101.3,101.3,101.3
144,06/07/79,00:00,101.79,101.79,101.79,101.79
145,06/08/79,00:00,101.49,101.49,101.49,101.49
146,06/11/79,00:00,101.91,101.91,101.91,101.91
147,06/12/79,00:00,102.85,102.85,102.85,102.85
148,06/13/79,00:00,102.31,102.31,102.31,102.31
149,06/14/79,00:00,102.2,102.2,102.2,102.2
150,06/15/79,00:00,102.09,102.09,102.09,102.09
151,06/18/79,00:00,101.56,101.56,101.56,101.56
152,06/19/79,00:00,101.58,101.58,101.58,101.58
153,06/20/79,00:00,101.63,101.63,101.63,101.63
154,06/21/79,00:00,102.09,102.09,102.09,102.09
155,06/22/79,00:00,102.64,102.64,102.64,102.64
156,06/25/79,00:00,102.09,102.09,102.09,102.09
157,06/26/79,00:00,101.66,101.66,101.66,101.66
158,06/27/79,00:00,102.27,102.27,102.27,102.27
159,06/28/79,00:00,102.8,102.8,102.8,102.8
160,06/29/79,00:00,102.91,102.91,102.91,102.91
161,07/02/79,00:00,101.99,101.99,101.99,101.99
162,07/03/79,00:00,102.09,102.09,102.09,102.09
163,07/05/79,00:00,102.43,102.43,102.43,102.43
164,07/06/79,00:00,103.62,103.62,103.62,103.62
165,07/09/79,00:00,104.47,104.47,104.47,104.47
166,07/10/79,00:00,104.2,104.2,104.2,104.2
167,07/11/79,00:00,103.64,103.64,103.64,103.64
168,07/12/79,00:00,102.69,102.69,102.69,102.69
169,07/13/79,00:00,102.32,102.32,102.32,102.32
170,07/16/79,00:00,102.74,102.74,102.74,102.74
171,07/17/79,00:00,101.83,101.83,101.83,101.83
172,07/18/79,00:00,101.69,101.69,101.69,101.69
173,07/19/79,00:00,101.61,101.61,101.61,101.61
174,07/20/79,00:00,101.82,101.82,101.82,101.82
175,07/23/79,00:00,101.59,101.59,101.59,101.59
176,07/24/79,00:00,101.97,101.97,101.97,101.97
177,07/25/79,00:00,103.08,103.08,103.08,103.08
178,07/26/79,00:00,103.1,103.1,103.1,103.1
179,07/27/79,00:00,103.1,103.1,103.1,103.1
180,07/30/79,00:00,103.15,103.15,103.15,103.15
181,07/31/79,00:00,103.81,103.81,103.81,103.81
182,08/01/79,00:00,104.17,104.17,104.17,104.17
183,08/02/79,00:00,104.1,104.1,104.1,104.1
184,08/03/79,00:00,104.04,104.04,104.04,104.04
185,08/06/79,00:00,104.3,104.3,104.3,104.3
186,08/07/79,00:00,105.65,105.65,105.65,105.65
187,08/08/79,00:00,105.98,105.98,105.98,105.98
188,08/09/79,00:00,105.49,105.49,105.49,105.49
189,08/10/79,00:00,106.4,106.4,106.4,106.4
190,08/13/79,00:00,107.42,107.42,107.42,107.42
191,08/14/79,00:00,107.52,107.52,107.52,107.52
192,08/15/79,00:00,108.25,108.25,108.25,108.25
193,08/16/79,00:00,108.09,108.09,108.09,108.09
194,08/17/79,00:00,108.3,108.3,108.3,108.3
195,08/20/79,00:00,108.83,108.83,108.83,108.83
196,08/21/79,00:00,108.91,108.91,108.91,108.91
197,08/22/79,00:00,108.99,108.99,108.99,108.99
198,08/23/79,00:00,108.63,108.63,108.63,108.63
199,08/24/79,00:00,108.6,108.6,108.6,108.6
200,08/27/79,00:00,109.14,109.14,109.14,109.14
201,08/28/79,00:00,109.02,109.02,109.02,109.02
202,08/29/79,00:00,109.02,109.02,109.02,109.02
203,08/30/79,00:00,109.02,109.02,109.02,109.02
204,08/31/79,00:00,109.32,109.32,109.32,109.32
205,09/04/79,00:00,107.44,107.44,107.44,107.44
206,09/05/79,00:00,106.4,106.4,106.4,106.4
207,09/06/79,00:00,106.85,106.85,106.85,106.85
208,09/07/79,00:00,107.66,107.66,107.66,107.66
209,09/10/79,00:00,108.17,108.17,108.17,108.17
210,09/11/79,00:00,107.51,107.51,107.51,107.51
211,09/12/79,00:00,107.82,107.82,107.82,107.82
212,09/13/79,00:00,107.85,107.85,107.85,107.85
213,09/14/79,00:00,108.76,108.76,108.76,108.76
214,09/17/79,00:00,108.84,108.84,108.84,108.84
215,09/18/79,00:00,108,108,108,108
216,09/19/79,00:00,108.28,108.28,108.28,108.28
217,09/20/79,00:00,110.51,110.51,110.51,110.51
218,09/21/79,00:00,110.47,110.47,110.47,110.47
219,09/24/79,00:00,109.61,109.61,109.61,109.61
220,09/25/79,00:00,109.68,109.68,109.68,109.68
221,09/26/79,00:00,109.96,109.96,109.96,109.96
222,09/27/79,00:00,110.21,110.21,110.21,110.21
223,09/28/79,00:00,109.32,109.32,109.32,109.32
224,10/01/79,00:00,108.56,108.56,108.56,108.56
225,10/02/79,00:00,109.59,109.59,109.59,109.59
226,10/03/79,00:00,109.59,109.59,109.59,109.59
227,10/04/79,00:00,110.17,110.17,110.17,110.17
228,10/05/79,00:00,111.27,111.27,111.27,111.27
229,10/08/79,00:00,109.88,109.88,109.88,109.88
230,10/09/79,00:00,106.63,106.63,106.63,106.63
231,10/10/79,00:00,105.3,105.3,105.3,105.3
232,10/11/79,00:00,105.05,105.05,105.05,105.05
233,10/12/79,00:00,104.49,104.49,104.49,104.49
234,10/15/79,00:00,103.36,103.36,103.36,103.36
235,10/16/79,00:00,103.19,103.19,103.19,103.19
236,10/17/79,00:00,103.39,103.39,103.39,103.39
237,10/18/79,00:00,103.61,103.61,103.61,103.61
238,10/19/79,00:00,101.6,101.6,101.6,101.6
239,10/22/79,00:00,100.71,100.71,100.71,100.71
240,10/23/79,00:00,100.28,100.28,100.28,100.28
241,10/24/79,00:00,100.44,100.44,100.44,100.44
242,10/25/79,00:00,100,100,100,100
243,10/26/79,00:00,100.57,100.57,100.57,100.57
244,10/29/79,00:00,100.71,100.71,100.71,100.71
245,10/30/79,00:00,102.67,102.67,102.67,102.67
246,10/31/79,00:00,101.82,101.82,101.82,101.82
247,11/01/79,00:00,102.57,102.57,102.57,102.57
248,11/02/79,00:00,102.51,102.51,102.51,102.51
249,11/05/79,00:00,101.82,101.82,101.82,101.82
250,11/06/79,00:00,101.2,101.2,101.2,101.2
251,11/07/79,00:00,99.87,99.87,99.87,99.87
252,11/08/79,00:00,100.3,100.3,100.3,100.3
253,11/09/79,00:00,101.51,101.51,101.51,101.51
254,11/12/79,00:00,103.51,103.51,103.51,103.51
255,11/13/79,00:00,102.94,102.94,102.94,102.94
256,11/14/79,00:00,103.39,103.39,103.39,103.39
257,11/15/79,00:00,104.13,104.13,104.13,104.13
258,11/16/79,00:00,103.79,103.79,103.79,103.79
259,11/19/79,00:00,104.23,104.23,104.23,104.23
260,11/20/79,00:00,103.69,103.69,103.69,103.69
261,11/21/79,00:00,103.89,103.89,103.89,103.89
262,11/23/79,00:00,104.67,104.67,104.67,104.67
263,11/26/79,00:00,106.8,106.8,106.8,106.8
264,11/27/79,00:00,106.38,106.38,106.38,106.38
265,11/28/79,00:00,106.77,106.77,106.77,106.77
266,11/29/79,00:00,106.81,106.81,106.81,106.81
267,11/30/79,00:00,106.16,106.16,106.16,106.16
268,12/03/79,00:00,105.83,105.83,105.83,105.83
269,12/04/79,00:00,106.79,106.79,106.79,106.79
270,12/05/79,00:00,107.25,107.25,107.25,107.25
271,12/06/79,00:00,108,108,108,108
272,12/07/79,00:00,107.52,107.52,107.52,107.52
273,12/10/79,00:00,107.67,107.67,107.67,107.67
274,12/11/79,00:00,107.49,107.49,107.49,107.49
275,12/12/79,00:00,107.52,107.52,107.52,107.52
276,12/13/79,00:00,107.67,107.67,107.67,107.67
277,12/14/79,00:00,108.92,108.92,108.92,108.92
278,12/17/79,00:00,109.33,109.33,109.33,109.33
279,12/18/79,00:00,108.3,108.3,108.3,108.3
280,12/19/79,00:00,108.2,108.2,108.2,108.2
281,12/20/79,00:00,108.26,108.26,108.26,108.26
282,12/21/79,00:00,107.59,107.59,107.59,107.59
283,12/24/79,00:00,107.66,107.66,107.66,107.66
284,12/26/79,00:00,107.78,107.78,107.78,107.78
285,12/27/79,00:00,107.96,107.96,107.96,107.96
286,12/28/79,00:00,107.84,107.84,107.84,107.84
287,12/31/79,00:00,107.94,107.94,107.94,107.94
288,01/02/80,00:00,106.5,108.43,105.29,105.76
289,01/03/80,00:00,105.76,106.08,103.26,105.22
290,01/04/80,00:00,106.23,107.08,105.09,106.52
291,01/07/80,00:00,106.8,107.8,105.8,106.81
292,01/08/80,00:00,108.17,109.29,106.29,108.95
293,01/09/80,00:00,109.51,111.09,108.41,109.05
294,01/10/80,00:00,109.74,110.86,108.47,109.89
295,01/11/80,00:00,109.99,111.16,108.89,109.92
296,01/14/80,00:00,110.38,111.44,109.34,110.38
297,01/15/80,00:00,110.84,111.93,109.45,111.14
298,01/16/80,00:00,111.44,112.9,110.38,111.05
299,01/17/80,00:00,110.84,112.01,109.81,110.7
300,01/18/80,00:00,110.89,111.74,109.88,111.07
301,01/21/80,00:00,111.88,112.9,110.66,112.1
302,01/22/80,00:00,111.84,113.1,110.92,111.51
303,01/23/80,00:00,112.76,113.93,110.93,113.44
304,01/24/80,00:00,113.97,115.27,112.95,113.7
305,01/25/80,00:00,113.47,114.45,112.36,113.61
306,01/28/80,00:00,114.47,115.65,112.93,114.85
307,01/29/80,00:00,114.29,115.77,113.03,114.07
308,01/30/80,00:00,114.8,115.85,113.37,115.2
