Bar,Date,Time,Open,High,Low,Close
7713,04/28/09,00:00,854.48,864.48,847.12,855.16
7714,04/29/09,00:00,856.85,882.06,856.85,873.64
7715,04/30/09,00:00,876.59,888.7,868.51,872.81
7716,05/01/09,00:00,872.74,880.48,866.1,877.52
7717,05/04/09,00:00,879.21,907.85,879.21,907.24
7718,05/05/09,00:00,906.1,907.7,897.34,903.8
7719,05/06/09,00:00,903.95,920.28,903.95,919.53
7720,05/07/09,00:00,919.58,929.58,901.36,907.39
7721,05/08/09,00:00,909.03,930.17,909.03,929.23
7722,05/11/09,00:00,922.99,922.99,908.68,909.24
7723,05/12/09,00:00,910.52,915.57,896.46,908.35
7724,05/13/09,00:00,905.4,905.4,882.8,883.92
7725,05/14/09,00:00,884.24,898.36,882.52,893.07
7726,05/15/09,00:00,892.76,896.97,878.94,882.88
7727,05/18/09,00:00,886.07,910,886.07,909.71
7728,05/19/09,00:00,909.67,916.39,905.22,908.13
7729,05/20/09,00:00,908.62,924.6,901.37,903.47
7730,05/21/09,00:00,900.42,900.42,879.61,888.33
7731,05/22/09,00:00,888.68,896.65,883.75,887
7732,05/26/09,00:00,883.57,911.76,881.46,910.33
7733,05/27/09,00:00,909.95,913.84,891.87,893.06
7734,05/28/09,00:00,892.96,909.45,887.6,906.83
7735,05/29/09,00:00,907.02,920.02,903.56,919.14
7736,06/01/09,00:00,923.26,947.77,923.26,942.87
7737,06/02/09,00:00,941.88,949.38,938.46,944.74
7738,06/03/09,00:00,942.51,942.51,923.85,931.76
7739,06/04/09,00:00,932.49,942.47,929.32,942.46
7740,06/05/09,00:00,945.67,951.69,934.13,940.09
7741,06/08/09,00:00,938.12,946.33,926.44,939.14
7742,06/09/09,00:00,940.35,946.92,936.15,942.43
7743,06/10/09,00:00,942.73,949.77,927.97,939.15
7744,06/11/09,00:00,939.04,956.23,939.04,944.89
7745,06/12/09,00:00,943.44,946.3,935.66,946.21
7746,06/15/09,00:00,942.45,942.45,919.65,923.72
7747,06/16/09,00:00,925.6,928,911.6,911.97
7748,06/17/09,00:00,911.89,918.44,903.78,910.71
7749,06/18/09,00:00,910.86,921.93,907.94,918.37
7750,06/19/09,00:00,919.96,927.09,915.8,921.23
7751,06/22/09,00:00,918.13,918.13,893.04,893.04
7752,06/23/09,00:00,893.46,898.69,888.86,895.1
7753,06/24/09,00:00,896.31,910.85,896.31,900.94
7754,06/25/09,00:00,899.45,921.42,896.27,920.26
7755,06/26/09,00:00,918.84,922,913.03,918.9
7756,06/29/09,00:00,919.86,927.99,916.18,927.23
7757,06/30/09,00:00,927.15,930.01,912.86,919.32
7758,07/01/09,00:00,920.82,931.92,920.82,923.33
7759,07/02/09,00:00,921.24,921.24,896.42,896.42
7760,07/06/09,00:00,894.27,898.72,886.36,898.72
7761,07/07/09,00:00,898.6,898.6,879.93,881.03
7762,07/08/09,00:00,881.9,886.8,869.32,879.56
7763,07/09/09,00:00,881.28,887.86,878.45,882.68
7764,07/10/09,00:00,880.03,883.57,872.81,879.13
7765,07/13/09,00:00,879.57,901.05,875.32,901.05
7766,07/14/09,00:00,900.77,905.84,896.5,905.84
7767,07/15/09,00:00,910.15,933.95,910.15,932.68
7768,07/16/09,00:00,930.17,943.96,927.45,940.74
7769,07/17/09,00:00,940.56,941.89,934.65,940.38
7770,07/20/09,00:00,942.07,951.62,940.99,951.13
7771,07/21/09,00:00,951.97,956.53,943.22,954.58
7772,07/22/09,00:00,953.4,959.83,947.75,954.07
7773,07/23/09,00:00,953.87,979.42,953.27,976.29
7774,07/24/09,00:00,972.16,979.79,965.95,979.26
7775,07/27/09,00:00,978.63,982.49,972.29,982.18
7776,07/28/09,00:00,981.48,982.35,969.35,979.62
7777,07/29/09,00:00,977.66,977.76,968.65,975.15
