Date,Time,Open,High,Low,Schließen
07/03/2013,07:16:00 PM,14674,14674,14674,14674
07/22/2013,03:11:00 PM,15260,15260,15260,15260
08/30/2013,02:44:00 PM,14602,14602,14602,14602
09/06/2013,09:43:00 PM,14642,14642,14642,14642
09/12/2013,07:18:00 PM,15100,15100,15100,15100
09/19/2013,07:51:00 AM,15526,15526,15526,15526
09/30/2013,03:36:00 PM,14895,14895,14895,14895
10/02/2013,04:17:00 PM,14795,14795,14795,14795
10/02/2013,05:46:00 PM,14874,14874,14874,14874
10/03/2013,04:41:00 AM,14843,14843,14843,14843
10/08/2013,03:40:00 PM,14705,14705,14705,14705
10/08/2013,06:51:00 PM,14670,14670,14670,14670
10/09/2013,03:33:00 PM,14580,14580,14580,14580
10/14/2013,07:51:00 PM,15060,15060,15060,15060
10/15/2013,11:13:00 AM,15111,15111,15111,15111
10/15/2013,03:39:00 PM,15050,15050,15050,15050
10/15/2013,05:40:00 PM,14999,14999,14999,14999
10/16/2013,11:34:00 AM,14989,14989,14989,14989
10/25/2013,09:44:00 PM,15340,15340,15340,15340
10/28/2013,01:48:00 PM,15414,15414,15414,15414
10/29/2013,03:44:00 AM,15411,15411,15411,15411
10/29/2013,02:35:00 PM,15411,15412,15411,15412
11/07/2013,03:24:00 PM,15588,15588,15588,15588
11/26/2013,05:23:00 PM,15865,15865,15865,15865
11/28/2013,01:49:00 PM,15990,15990,15990,15990
11/29/2013,07:20:00 PM,15924,15924,15924,15924
12/02/2013,09:32:00 PM,15850,15850,15850,15850
12/04/2013,06:03:00 PM,15748,15748,15748,15748
12/04/2013,06:05:00 PM,15738,15738,15738,15738
12/06/2013,02:53:00 PM,15790,15790,15790,15790
12/10/2013,05:37:00 AM,15918,15918,15918,15918
12/10/2013,05:48:00 PM,15911,15911,15911,15911
12/11/2013,09:47:00 PM,15700,15700,15700,15700
12/12/2013,03:26:00 AM,15700,15700,15700,15700
12/12/2013,06:22:00 PM,15600,15600,15600,15600
12/17/2013,09:00:00 AM,15719,15719,15714,15716
12/17/2013,09:01:00 AM,15717,15717,15717,15717
12/17/2013,09:03:00 AM,15777,15793,15777,15793
12/17/2013,09:05:00 AM,15774,15791,15774,15791
12/17/2013,09:27:00 AM,15749,15749,15749,15749
12/18/2013,04:22:00 PM,15815,15815,15815,15815
12/18/2013,06:59:00 PM,15782,15782,15782,15782
12/18/2013,08:00:00 PM,15700,15700,15700,15700
12/18/2013,08:47:00 PM,15933,15933,15933,15933
12/18/2013,09:43:00 PM,16020,16020,16020,16020
12/18/2013,09:44:00 PM,16024,16024,16024,16024
12/19/2013,05:31:00 AM,16060,16060,16060,16060
12/19/2013,07:21:00 AM,16024,16024,16024,16024
12/19/2013,02:35:00 PM,16063,16063,16063,16063
12/19/2013,04:14:00 PM,16010,16010,16010,16010
12/19/2013,04:45:00 PM,16041,16041,16041,16041
12/20/2013,03:59:00 PM,16125,16125,16125,16125
12/20/2013,04:33:00 PM,16128,16128,16128,16128
